Score,Episodes,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format,cluster
8.17,51,24,1,0,6,0,92,0,1,2
7.96,52,24,1,0,7,5,93,0,1,2
7.64,52,23,1,0,2,3,94,0,1,2
6.49,13,24,1,0,12,373,95,0,0,2
6.91,13,24,1,0,12,9,96,0,0,2
6.96,24,25,1,0,29,4,97,0,26,2
7.59,50,23,0,0,2,3,98,0,1,2
7.61,49,24,1,0,11,5,99,0,1,2
6.21,12,24,2,0,8,16,100,0,2,2
7.42,13,24,0,1,3,182,101,0,1,2
8.11,75,23,1,0,2,3,102,0,1,2
8.42,62,23,1,1,3,14,103,0,1,2
6.14,12,23,0,4,22,9,104,0,1,2
6.87,12,24,1,3,11,17,105,0,1,2
7.11,13,24,3,3,10,299,106,0,2,2
7.61,26,24,1,0,2,1,107,0,1,2
6.76,12,24,2,0,10,18,108,0,0,2
7.24,14,23,2,3,12,89,109,0,2,2
6.86,12,24,1,1,0,1,110,0,1,2
7.66,50,24,0,1,6,15,111,0,0,2
7.12,3,46,2,0,23,299,112,2,1,2
7.28,24,23,0,1,22,4,113,0,0,2
8.06,45,25,1,1,30,3,114,0,5,2
7.78,64,23,1,0,2,8,115,0,1,2
6.59,1,97,0,1,10,182,116,1,1,2
7.43,24,24,2,1,0,182,117,0,1,2
6.98,26,23,1,0,19,8,118,0,1,2
7.34,13,24,1,3,13,5,119,0,4,2
6.34,24,23,1,2,9,1,120,0,1,2
7.66,13,25,0,2,31,62,121,0,0,2
7.33,24,24,0,0,22,4,122,0,1,2
6.94,26,24,3,0,32,182,123,0,1,2
6.48,26,20,1,0,33,3,124,0,26,2
8.72,1,135,1,1,34,123,125,1,0,2
7.42,26,23,1,1,3,0,126,0,0,2
7.48,26,26,1,4,35,4,127,0,6,2
7.41,24,23,1,0,17,0,128,0,4,2
7.38,26,24,1,1,36,206,129,0,0,2
6.91,12,24,0,1,10,1,130,0,2,2
8.53,101,23,1,0,22,299,131,0,1,2
7.23,25,24,1,0,37,5,132,0,1,2
6.93,24,23,0,0,22,182,133,0,1,2
6.63,26,25,1,1,13,3,134,0,1,2
6.19,4,28,1,5,38,12,135,2,2,2
7.55,26,25,1,1,11,146,136,0,1,2
7.18,26,24,3,0,4,19,137,0,1,2
7.21,13,22,1,1,18,4,138,0,0,2
7.42,13,22,1,1,18,4,139,0,0,2
7.7,26,24,1,2,2,206,140,0,0,2
7.39,39,24,3,6,39,122,141,0,1,2
6.37,12,23,1,1,40,299,142,0,26,2
8.29,26,25,1,1,3,126,143,0,1,2
8.12,13,23,1,1,3,20,144,0,1,2
7.89,1,105,1,1,41,5,145,1,1,2
7.14,24,23,1,0,2,8,146,0,1,2
7.25,3,30,1,0,19,8,147,2,1,2
7.34,1,46,1,0,36,8,148,3,1,2
6.8,24,24,2,0,42,1,149,0,4,2
7.55,5,30,2,4,0,21,150,2,0,2
7.17,12,23,1,0,0,10,151,0,0,2
6.88,12,25,1,0,12,10,152,0,0,2
6.55,24,15,2,0,26,182,153,0,1,2
7.35,24,23,2,1,22,4,154,0,0,2
8.83,1,125,1,3,43,123,155,1,0,2
7.21,6,29,2,0,24,15,156,2,1,2
7.82,26,23,1,1,0,0,157,0,0,2
6.75,5,30,2,2,44,22,158,2,2,2
8.5,26,24,0,0,3,23,159,0,0,2
7.16,27,24,1,1,17,62,160,0,5,2
7.4,13,25,0,1,9,182,161,2,5,2
7.67,3,33,1,1,6,5,162,2,4,2
7.55,26,25,1,0,6,1,163,0,4,2
7.76,161,24,2,0,3,5,164,0,1,2
6.86,1,84,1,0,45,24,165,1,0,2
5.94,1,48,1,0,46,0,166,1,2,2
7.52,26,23,1,0,19,8,167,0,0,2
6.77,1,79,0,0,2,8,168,1,0,2
6.65,2,30,2,0,44,22,169,2,0,2
6.68,13,25,2,0,47,22,170,0,0,2
8.0,153,24,1,0,3,299,171,0,1,2
6.48,64,23,1,0,3,299,172,0,1,2
7.56,13,25,2,1,48,22,173,0,1,2
8.03,6,25,1,0,19,15,174,2,0,2
7.65,26,25,0,7,6,5,175,0,0,2
6.92,12,24,0,0,40,25,176,0,1,2
7.02,27,24,0,0,5,299,177,0,1,2
6.18,26,12,1,0,19,26,178,0,1,2
8.16,70,25,1,0,11,182,179,0,1,2
6.69,26,24,3,5,2,190,180,0,1,2
6.64,26,23,1,0,20,3,181,0,1,2
8.09,50,24,1,3,6,0,182,0,0,2
7.36,42,23,1,1,3,3,183,0,1,2
8.17,24,24,0,3,29,4,184,0,5,2
7.66,12,25,1,0,12,27,185,0,1,2
6.45,11,23,2,0,12,28,186,0,1,2
7.42,13,23,0,0,5,182,187,0,1,2
7.02,13,22,1,0,6,5,188,0,1,2
8.7,43,25,0,0,6,3,189,0,1,2
7.27,51,24,1,0,11,5,190,0,1,2
6.68,12,23,1,0,24,182,191,0,1,2
7.85,167,24,1,0,49,206,192,0,1,2
7.55,150,23,1,0,3,299,193,0,1,2
7.7,78,25,1,0,25,5,194,0,4,2
7.07,26,24,1,3,1,146,195,0,0,2
7.84,26,23,1,0,0,29,196,0,1,2
7.83,6,26,1,0,0,29,197,2,1,2
7.65,7,26,1,0,0,29,198,2,1,2
6.45,13,24,2,8,48,1,199,0,1,2
6.23,4,30,0,3,50,182,200,2,1,2
6.67,13,23,1,0,51,30,201,0,1,2
6.84,13,24,1,0,4,30,202,0,1,2
6.83,3,30,1,0,51,30,203,2,1,2
8.75,75,23,1,0,5,182,204,0,1,2
6.8,12,23,1,3,52,1,205,0,26,2
7.87,26,25,0,1,53,182,206,0,26,2
8.03,6,29,2,0,24,24,207,2,1,2
7.8,366,24,1,0,6,3,208,0,1,2
7.5,13,23,0,1,3,4,209,0,1,2
6.7,26,25,1,4,29,4,210,0,0,2
7.31,26,24,1,1,1,146,211,0,0,2
6.75,12,24,1,3,27,1,212,0,1,2
7.22,24,23,2,1,54,4,213,0,0,2
5.91,9,15,2,0,26,15,214,0,0,2
7.18,12,24,2,0,9,18,215,0,1,2
7.17,14,24,2,0,27,18,216,0,1,2
6.75,51,20,1,0,2,50,217,0,26,2
7.15,13,24,0,2,43,102,218,0,5,2
6.83,51,23,3,0,2,126,219,0,1,2
5.74,3,27,1,0,12,31,220,2,2,2
7.3,50,23,1,1,6,102,221,0,1,2
7.03,12,25,1,1,22,50,222,0,1,2
7.05,25,22,1,4,55,102,223,0,1,2
7.44,24,25,1,1,56,50,224,0,1,2
6.73,51,23,1,0,52,182,225,0,1,2
6.59,13,24,1,0,51,6,226,0,2,2
7.69,13,26,1,1,0,206,227,0,4,2
6.85,26,24,1,3,41,2,228,0,1,2
6.73,16,4,3,0,32,182,229,0,0,2
5.93,13,24,2,0,42,98,230,0,0,2
6.3,13,24,1,3,42,98,231,0,0,2
6.73,38,25,1,0,0,182,232,0,1,2
6.72,12,25,1,0,17,50,233,0,1,2
6.6,12,23,1,0,0,146,234,0,1,2
6.61,4,33,1,4,0,146,235,2,0,2
6.77,4,30,0,1,0,299,236,2,1,2
6.92,48,7,3,0,0,6,237,0,3,2
7.57,1,106,1,0,0,62,238,1,0,2
5.39,4,18,2,0,57,3,239,2,1,2
7.26,13,24,2,0,18,182,240,0,0,2
6.94,26,25,1,2,0,32,241,0,0,2
6.16,13,24,1,0,12,98,242,0,0,2
7.02,26,24,1,3,14,182,243,0,1,2
6.87,13,24,1,3,0,200,244,2,1,2
6.73,10,23,1,0,46,19,245,0,0,2
6.02,3,30,2,0,51,380,246,2,1,2
6.56,2,26,2,1,44,22,247,2,0,2
6.0,12,23,2,0,29,89,248,0,0,2
7.83,12,24,0,0,6,182,249,0,1,2
7.68,13,24,2,3,53,182,250,0,0,2
7.69,47,25,1,0,53,206,251,0,0,2
7.0,25,24,1,3,2,122,252,0,1,2
7.27,4,22,0,7,9,182,253,0,1,2
6.02,10,24,3,3,27,6,254,0,0,2
8.31,26,25,1,3,0,206,255,0,1,2
7.28,13,24,2,0,12,3,256,0,1,2
7.61,45,23,3,0,18,14,257,0,1,2
7.19,38,23,3,0,2,14,258,0,1,2
7.49,76,24,1,0,58,299,259,0,1,2
7.29,26,24,1,0,2,5,260,0,1,2
6.46,13,24,1,2,59,146,261,0,2,2
6.24,24,11,1,0,19,33,262,0,1,2
8.33,40,24,1,3,34,55,263,0,1,2
8.03,13,23,0,3,2,34,264,0,0,2
7.59,26,23,1,1,2,122,265,0,1,2
7.25,25,23,1,3,6,1,266,0,1,2
7.0,13,24,1,3,46,1,267,0,4,2
7.37,20,25,1,3,25,50,268,0,1,2
7.67,12,25,3,3,8,3,269,0,1,2
6.66,22,24,1,1,6,146,270,0,26,2
6.45,13,13,3,0,48,8,271,0,0,2
7.21,51,24,3,0,58,299,272,0,0,2
7.34,49,24,3,0,58,299,273,0,0,2
7.34,50,24,3,0,58,299,274,0,0,2
7.59,51,24,3,0,58,299,275,0,0,2
5.63,12,14,2,0,26,16,276,0,0,2
7.51,24,24,1,1,60,1,277,0,4,2
7.34,24,24,0,1,42,5,278,0,2,2
6.59,4,25,0,0,60,72,279,2,4,2
6.99,6,27,2,3,40,299,280,2,4,2
6.3,2,30,1,1,6,35,281,2,1,2
6.24,12,23,1,2,4,50,282,0,26,2
7.47,37,25,1,9,6,102,283,0,1,2
5.94,7,30,2,0,0,89,284,2,0,2
7.05,3,24,3,0,7,126,285,2,1,2
6.65,6,30,2,10,61,106,286,2,2,2
7.17,12,24,2,3,5,182,287,0,4,2
6.55,13,25,1,0,62,215,288,0,0,2
7.64,1,81,1,0,0,182,289,1,1,2
8.22,1,82,1,0,0,182,290,1,1,2
6.7,6,28,1,0,10,77,291,2,1,2
6.53,12,23,1,0,10,19,292,0,0,2
7.19,1,25,2,3,5,22,293,3,1,2
6.73,6,25,1,0,0,19,294,2,0,2
6.64,1,62,1,0,0,36,295,1,0,2
7.5,26,24,0,0,1,1,296,0,1,2
7.16,3,28,1,0,0,3,297,2,1,2
6.37,4,28,2,0,63,26,298,2,1,2
7.03,24,13,1,0,0,182,299,0,26,2
7.05,13,22,2,1,3,4,300,0,1,2
6.65,26,23,0,2,64,50,301,0,1,2
7.27,41,24,1,0,58,19,302,0,1,2
7.99,13,24,1,2,3,98,303,0,6,2
7.83,52,23,1,6,2,122,304,0,1,2
7.42,6,30,0,1,60,171,305,2,0,2
7.22,26,23,1,3,19,122,306,0,1,2
6.82,4,30,1,2,65,36,307,2,26,2
8.45,112,24,1,0,3,3,308,0,1,2
7.08,1,97,1,2,21,206,309,1,0,2
7.16,12,23,1,0,10,1,310,0,1,2
7.08,13,23,2,1,3,4,311,0,1,2
7.72,13,25,1,1,0,206,312,0,4,2
7.84,10,25,1,1,0,206,313,0,4,2
7.7,2,37,1,1,0,206,314,2,4,2
7.26,1,2,1,1,0,206,315,3,4,2
7.87,24,25,2,0,20,206,316,0,1,2
8.0,2,42,0,3,66,5,317,2,1,2
6.62,12,14,2,0,26,10,318,0,1,2
6.75,6,26,2,0,24,62,319,2,1,2
6.91,1,48,0,7,6,15,320,1,0,2
7.76,45,25,1,0,11,3,321,0,1,2
7.33,1,25,1,1,67,182,322,3,26,2
7.28,26,24,1,1,68,37,323,0,0,2
6.56,12,24,2,0,9,18,324,0,1,2
2.23,1,19,0,4,69,38,325,2,2,2
7.19,1,104,3,0,70,123,326,1,3,2
7.98,1,93,3,0,34,123,327,1,1,2
6.47,26,24,1,1,65,135,328,0,26,2
6.92,26,24,1,0,19,5,329,0,1,2
6.68,1,90,0,4,9,39,330,1,1,2
6.66,13,23,1,0,0,89,331,0,0,2
6.73,2,30,1,0,0,89,332,2,0,2
6.85,6,26,1,0,0,89,333,2,0,2
7.18,24,25,1,0,71,206,334,0,4,2
6.44,2,26,1,0,10,14,335,2,1,2
6.12,4,30,1,0,67,182,336,2,26,2
7.94,51,23,1,0,2,15,337,0,0,2
7.52,1,24,1,0,72,4,338,2,0,2
7.88,1,50,1,0,37,4,339,2,0,2
7.57,1,105,1,0,6,0,340,1,1,2
8.67,1,119,3,2,70,123,341,1,5,2
7.07,6,27,0,1,0,181,342,2,0,2
5.55,1,42,2,1,73,62,343,2,0,2
7.46,20,24,1,0,74,55,344,0,1,2
8.48,1,80,2,3,75,182,345,1,5,2
6.54,3,30,0,1,51,40,346,2,2,2
6.14,2,45,1,2,10,77,347,2,1,2
8.2,39,23,1,0,2,1,348,0,0,2
7.6,1,90,2,2,76,1,349,1,0,2
7.1,1,82,1,0,6,3,350,1,1,2
7.32,1,21,0,0,12,10,351,2,0,2
6.73,25,23,1,1,77,215,352,0,0,2
7.66,1,99,1,0,78,206,353,1,1,2
7.8,1,98,1,0,78,206,354,1,1,2
6.16,1,26,2,0,79,146,355,2,0,2
6.94,26,25,1,0,80,1,356,0,0,2
8.69,26,25,1,2,39,41,357,0,1,2
6.24,3,27,2,0,4,6,358,2,1,2
7.17,1,55,1,0,24,299,359,1,1,2
6.99,1,55,1,0,81,299,360,1,1,2
7.59,1,95,1,0,81,299,361,1,1,2
7.7,1,91,1,0,3,299,362,1,1,2
7.28,1,94,1,0,24,299,363,1,1,2
8.45,26,25,0,1,0,15,364,0,1,2
7.82,1,99,0,4,0,15,365,1,1,2
7.17,24,23,1,0,17,1,366,0,1,2
6.6,13,25,1,3,51,6,367,0,2,2
6.66,12,23,1,1,12,373,368,0,0,2
7.72,4,39,0,3,71,34,369,2,0,2
7.34,12,24,1,3,6,42,370,0,4,2
7.69,13,24,3,2,2,72,371,0,1,2
7.11,26,24,1,1,29,21,372,0,0,2
7.76,51,23,1,0,82,5,373,0,1,2
7.47,224,23,1,5,7,126,374,0,1,2
7.16,180,23,1,0,2,126,375,0,1,2
7.35,24,23,1,1,29,0,376,0,0,2
7.29,26,5,3,0,83,215,377,0,3,2
8.34,13,24,0,1,8,2,378,0,4,2
6.68,13,23,2,0,12,28,379,0,1,2
7.66,12,24,1,0,10,10,380,0,3,2
7.4,12,26,3,0,6,43,381,0,0,2
7.45,26,24,1,0,19,18,382,0,1,2
6.86,1,90,0,1,27,62,383,1,0,2
7.08,1,92,2,1,27,62,384,1,0,2
6.71,26,25,0,0,10,8,385,0,1,2
6.63,1,132,1,2,17,182,386,1,5,2
6.13,3,45,1,1,84,62,387,2,0,2
6.17,1,79,0,5,85,182,388,2,5,2
7.27,51,24,3,0,2,72,389,0,0,2
7.34,23,24,1,3,4,44,390,0,1,2
6.96,2,26,0,0,6,184,391,2,1,2
6.97,296,25,3,0,2,102,392,0,1,2
6.81,13,25,1,0,27,17,393,0,0,2
5.89,13,24,1,0,86,22,394,0,2,2
6.19,13,25,1,0,87,28,395,0,26,2
8.31,1,125,1,2,70,123,396,1,0,2
6.85,3,36,0,3,6,10,397,2,0,2
7.7,358,23,1,0,2,206,398,0,1,2
7.75,2,25,1,0,4,122,399,2,1,2
7.34,26,23,1,0,19,1,400,0,1,2
7.04,52,24,1,0,88,36,401,0,1,2
7.54,1,109,1,3,0,182,402,1,1,2
8.31,1,86,3,0,89,123,403,1,0,2
7.04,1,25,2,0,12,10,404,2,0,2
6.98,26,23,1,2,5,15,405,0,0,2
7.17,6,30,1,3,1,15,406,2,1,2
7.34,276,24,1,0,2,6,407,0,26,2
7.63,1,85,1,0,2,6,408,1,26,2
7.18,13,24,0,3,53,4,409,0,1,2
7.68,46,24,1,11,22,299,410,0,1,2
7.85,38,24,1,3,22,299,411,0,1,2
7.76,26,22,1,0,2,33,412,0,4,2
8.04,26,24,1,0,2,33,413,0,4,2
7.3,1,66,1,0,17,1,414,1,4,2
5.27,2,28,0,1,90,5,415,2,26,2
6.87,26,23,1,0,27,62,416,0,0,2
7.66,6,29,2,0,27,62,417,2,0,2
7.66,6,33,2,0,27,62,418,2,0,2
7.32,6,30,2,0,5,62,419,2,0,2
7.89,1,102,0,1,10,182,420,1,4,2
6.78,1,103,1,1,47,34,421,1,1,2
6.0,13,12,1,3,65,98,422,0,2,2
7.21,27,24,1,0,7,299,423,0,1,2
7.79,54,24,1,0,3,299,424,0,6,2
7.07,13,23,0,0,10,1,425,0,1,2
6.79,24,15,2,0,8,6,426,0,0,2
6.3,12,15,2,0,8,6,427,0,0,2
6.11,3,15,1,3,8,6,428,2,0,2
6.7,4,15,1,0,8,6,429,2,0,2
8.25,26,25,1,0,25,30,430,0,1,2
6.35,1,15,1,3,91,0,431,2,0,2
7.4,1,51,1,1,19,15,432,3,0,2
6.88,25,24,1,4,9,182,433,0,26,2
6.44,3,31,1,4,8,98,434,2,26,2
6.68,12,23,1,0,10,182,435,0,1,2
6.56,2,30,2,0,1,1,436,2,0,2
7.35,1,126,1,1,92,206,437,1,0,2
7.11,4,33,1,0,0,182,438,2,1,2
7.53,26,24,1,1,0,206,439,0,0,2
7.1,26,24,0,4,1,62,440,0,0,2
7.87,26,23,1,0,5,171,441,0,4,2
6.07,6,29,1,1,27,62,442,2,0,2
7.35,25,25,1,0,2,45,443,0,0,2
5.74,6,24,1,2,0,206,444,4,5,2
6.38,13,24,1,0,12,190,445,0,1,2
6.21,13,24,1,2,93,28,446,0,1,2
6.84,10,4,3,0,94,3,447,0,6,2
6.25,2,33,2,0,0,89,448,2,0,2
7.71,48,8,0,0,0,215,449,0,1,2
7.62,24,25,1,3,12,21,450,0,0,2
8.23,1,111,3,3,70,123,451,1,1,2
7.45,11,23,0,2,18,299,452,0,6,2
7.52,6,24,1,0,8,50,453,0,4,2
5.96,2,28,2,0,95,17,454,2,1,2
8.04,21,23,1,1,22,299,455,0,1,2
6.62,12,24,1,0,6,50,456,0,4,2
6.93,26,23,1,2,53,102,457,0,26,2
7.48,26,23,1,3,2,206,458,0,0,2
6.84,1,22,1,2,17,182,459,2,1,2
7.0,1,6,1,0,10,182,460,3,1,2
7.33,1,32,1,0,19,1,461,2,1,2
6.52,7,29,1,0,10,46,462,2,0,2
7.0,49,24,3,0,96,299,463,0,0,2
7.12,26,24,3,0,0,3,464,0,0,2
6.71,26,23,1,0,2,3,465,0,0,2
7.12,13,24,1,0,0,182,466,0,0,2
6.45,1,85,1,4,17,15,467,1,2,2
7.1,2,30,2,3,53,89,468,2,1,2
6.29,12,24,2,0,0,18,469,0,2,2
6.53,13,25,1,0,48,8,470,0,4,2
6.34,13,24,1,11,29,1,471,0,0,2
6.62,5,24,1,0,27,78,472,2,0,2
6.72,35,24,1,2,2,126,473,0,1,2
7.61,1,94,2,2,10,182,474,1,0,2
6.7,13,24,0,5,97,182,475,0,0,2
7.06,13,24,0,2,2,102,476,0,1,2
6.94,12,25,2,0,0,62,477,0,2,2
6.72,25,24,1,0,2,2,478,0,1,2
6.04,12,14,2,0,32,5,479,0,1,2
8.27,26,25,1,0,25,30,480,0,1,2
7.07,6,28,1,0,0,19,481,2,0,2
7.13,13,24,0,3,22,2,482,0,1,2
6.67,13,25,1,0,0,182,483,0,0,2
6.87,13,25,1,0,13,182,484,0,0,2
6.63,16,8,2,0,9,1,485,0,1,2
7.98,1,77,3,6,18,3,486,3,1,2
6.8,12,23,2,0,46,10,487,0,1,2
7.27,3,29,1,0,11,6,488,2,1,2
7.18,9,24,1,0,0,182,489,0,0,2
7.31,26,24,1,0,0,182,490,0,0,2
7.22,13,24,1,0,12,182,491,0,26,2
7.33,2,24,1,0,8,78,492,3,2,2
7.94,26,23,0,9,5,182,493,0,1,2
7.03,1,6,3,0,17,1,494,3,3,2
7.18,7,30,2,2,24,24,495,2,1,2
7.35,6,35,0,2,24,24,496,2,1,2
6.67,12,24,1,0,12,30,497,0,1,2
5.81,13,25,2,0,28,47,498,0,1,2
6.12,3,25,1,0,12,27,499,2,6,2
6.83,12,24,1,3,98,28,500,0,2,2
5.16,1,24,1,0,29,28,501,2,2,2
6.56,12,22,1,0,12,190,502,0,0,2
6.44,13,24,1,3,59,6,503,0,2,2
6.99,52,24,1,0,11,3,504,0,1,2
6.72,12,23,1,3,0,72,505,0,0,2
6.95,1,24,1,3,0,72,506,3,0,2
7.15,26,25,0,1,4,62,507,0,1,2
7.48,124,25,1,0,99,182,508,0,1,2
6.19,12,24,0,0,46,62,509,0,0,2
6.78,24,24,1,0,100,380,510,0,2,2
7.44,26,23,1,0,2,62,511,0,0,2
6.52,13,24,1,0,101,98,512,0,2,2
6.44,4,7,1,0,51,6,513,3,2,2
7.57,26,24,1,4,102,373,514,0,5,2
7.34,9,13,1,0,9,18,515,0,1,2
7.26,1,91,1,3,65,299,516,1,2,2
6.45,3,30,1,0,9,1,517,2,1,2
6.46,16,7,2,0,9,1,518,0,1,2
7.14,2,54,2,3,103,62,519,2,4,2
8.15,38,16,1,0,104,72,520,0,0,2
8.12,1,67,3,3,105,299,521,14,14,2
7.08,1,80,2,1,10,19,522,1,4,2
5.89,1,30,2,3,106,1,523,2,1,2
7.28,102,24,1,0,2,48,524,0,1,2
7.69,43,24,1,11,22,299,525,0,1,2
6.75,1,30,2,0,107,32,526,2,1,2
6.54,20,25,3,0,108,62,527,0,7,2
6.03,2,30,2,0,109,17,528,2,4,2
6.76,2,30,2,3,65,28,529,2,1,2
6.92,12,12,3,0,0,5,530,0,1,2
4.96,1,27,2,3,110,1,531,2,1,2
7.03,36,25,1,2,25,102,532,0,8,2
7.04,1,2,1,1,29,0,533,1,0,2
8.29,1,92,1,0,18,182,534,1,0,2
5.02,3,14,1,0,26,15,535,3,0,2
6.05,1,24,1,0,17,50,536,2,2,2
6.09,1,46,0,0,111,62,537,2,0,2
6.37,4,27,2,0,111,62,538,2,0,2
7.37,1,23,1,3,112,49,539,2,0,2
6.69,13,24,1,2,46,146,540,0,2,2
6.19,4,30,1,0,0,3,541,2,0,2
6.61,12,25,1,0,48,1,542,0,1,2
8.4,10,50,0,1,46,182,543,2,1,2
7.87,1,94,1,0,82,102,544,1,1,2
6.66,25,25,1,3,36,206,545,0,0,2
6.47,13,23,0,0,11,50,546,0,1,2
7.14,2,48,1,0,16,46,547,2,6,2
4.39,2,30,1,0,48,1,548,2,1,2
6.93,6,25,1,2,8,50,549,0,4,2
7.92,23,25,0,4,46,23,550,0,0,2
6.14,1,2,2,1,70,206,551,1,1,2
7.96,1,1,1,0,10,15,552,1,1,2
7.79,39,25,1,3,25,162,553,0,1,2
6.69,3,14,2,0,26,10,554,2,1,2
7.42,12,23,1,3,12,1,555,0,0,2
6.48,13,24,1,0,1,5,556,0,1,2
6.85,13,23,1,0,17,34,557,0,0,2
8.54,26,25,0,1,0,15,558,0,1,2
6.54,3,28,2,0,10,8,559,2,1,2
6.44,24,14,1,0,10,50,560,0,1,2
6.83,13,26,1,3,0,21,561,0,0,2
8.16,291,24,1,0,3,299,562,0,1,2
7.49,1,30,1,0,7,259,563,1,1,2
7.36,1,65,1,1,24,15,564,1,1,2
5.58,6,26,2,0,48,98,565,2,0,2
6.21,12,24,2,0,99,18,566,2,1,2
6.32,1,49,2,11,82,50,567,2,1,2
9.07,110,26,0,3,99,41,568,2,5,2
7.57,1,52,3,1,3,20,569,2,1,2
7.33,2,27,2,1,3,20,570,2,1,2
5.84,2,29,2,10,113,338,571,2,0,2
6.68,2,30,2,10,44,51,572,2,2,2
7.08,24,24,1,0,9,1,573,0,0,2
5.78,24,25,2,4,86,184,574,0,0,2
6.4,13,23,1,0,114,4,575,0,0,2
6.98,1,33,1,0,2,3,576,3,1,2
6.43,26,23,1,0,19,380,577,0,4,2
